Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
1st,RB,RB,QB,WR,WR,WR,RB,TE,RB,0,2,3,0,77.2
1st,RB,WR,WR,QB,WR,WR,TE,WR,WR,0,5,0,0,77.2
4th,TE,WR,WR,RB,QB,RB,RB,RB,WR,0,3,2,0,77.1
6th,TE,WR,WR,RB,QB,RB,RB,RB,WR,0,3,2,0,77.1
6th,WR,RB,TE,QB,RB,WR,WR,WR,RB,1,2,1,1,77.1
6th,WR,RB,WR,RB,QB,WR,WR,WR,TE,1,2,1,1,77.1
12th,WR,RB,WR,WR,WR,RB,QB,WR,RB,0,2,1,2,77.1
1st,RB,RB,RB,TE,QB,WR,WR,WR,WR,0,3,2,0,77.1
12th,RB,WR,WR,TE,QB,WR,RB,WR,RB,0,3,2,0,77.1
4th,WR,RB,RB,TE,RB,WR,QB,WR,WR,0,3,2,0,77.1
1st,RB,WR,TE,RB,QB,WR,WR,WR,RB,0,3,2,0,77.1
1st,RB,RB,WR,QB,WR,TE,RB,WR,WR,0,3,2,0,77.1
4th,RB,RB,WR,WR,WR,WR,WR,RB,RB,2,1,0,2,77.1
12th,RB,WR,WR,WR,QB,TE,WR,RB,RB,0,3,2,0,77
12th,WR,TE,RB,QB,RB,WR,WR,WR,WR,0,4,1,0,77
4th,RB,RB,RB,WR,WR,WR,QB,RB,TE,0,1,3,1,77
12th,WR,WR,WR,WR,TE,RB,QB,RB,RB,0,4,1,0,77
1st,WR,RB,TE,WR,QB,WR,RB,WR,WR,0,3,1,1,77
1st,RB,WR,WR,WR,WR,WR,QB,WR,TE,0,5,0,0,77
1st,WR,RB,WR,RB,TE,WR,RB,WR,QB,0,3,2,0,77
12th,RB,WR,RB,WR,TE,RB,QB,WR,RB,0,2,3,0,77
9th,RB,TE,RB,WR,WR,QB,RB,WR,RB,0,2,3,0,77
1st,WR,WR,WR,RB,TE,RB,QB,WR,RB,0,3,2,0,77
4th,WR,RB,WR,WR,WR,RB,QB,WR,RB,0,2,1,2,76.9
12th,WR,RB,WR,RB,WR,QB,RB,WR,TE,0,3,1,1,76.9
12th,RB,WR,TE,RB,QB,WR,WR,WR,RB,0,3,2,0,76.9
6th,RB,RB,WR,WR,WR,WR,WR,RB,RB,2,0,1,2,76.9
6th,RB,WR,RB,QB,RB,RB,RB,TE,RB,0,0,5,0,76.9
9th,RB,WR,WR,TE,QB,WR,RB,WR,RB,0,3,2,0,76.9
12th,WR,RB,WR,RB,RB,TE,WR,QB,WR,0,3,2,0,76.9
6th,WR,RB,TE,WR,WR,QB,RB,RB,RB,0,3,2,0,76.9
4th,WR,WR,RB,RB,RB,QB,RB,RB,RB,0,0,3,2,76.9
4th,WR,RB,QB,WR,WR,WR,RB,RB,TE,0,2,2,1,76.9
6th,WR,RB,TE,RB,RB,RB,QB,WR,WR,0,2,3,0,76.9
4th,WR,RB,WR,RB,QB,WR,WR,WR,TE,1,2,1,1,76.9
1st,WR,WR,RB,QB,RB,TE,RB,RB,RB,0,0,5,0,76.9
1st,WR,RB,RB,TE,RB,WR,QB,WR,WR,0,3,2,0,76.9
1st,WR,TE,WR,WR,WR,RB,RB,RB,QB,1,3,1,0,76.9
4th,WR,WR,WR,WR,QB,RB,TE,RB,RB,0,4,1,0,76.9
12th,RB,RB,RB,QB,TE,WR,WR,WR,WR,0,1,4,0,76.9
9th,WR,WR,WR,RB,QB,RB,RB,TE,TE,0,3,2,0,76.8
6th,WR,WR,WR,WR,QB,RB,TE,RB,RB,0,4,1,0,76.8
12th,WR,WR,RB,RB,QB,WR,TE,WR,RB,1,2,2,0,76.8
9th,WR,RB,RB,WR,WR,RB,TE,QB,RB,1,1,2,1,76.8
6th,WR,WR,RB,RB,TE,QB,RB,RB,WR,0,2,3,0,76.8
12th,RB,TE,WR,WR,WR,QB,RB,RB,RB,2,1,2,0,76.8
6th,TE,WR,RB,WR,RB,WR,QB,WR,RB,0,3,2,0,76.8
12th,RB,WR,RB,WR,RB,WR,TE,QB,RB,1,1,2,1,76.8
1st,WR,WR,RB,RB,QB,RB,RB,WR,TE,0,2,3,0,76.8
6th,WR,TE,RB,QB,RB,WR,WR,WR,WR,0,4,1,0,76.8
12th,RB,TE,WR,WR,QB,WR,RB,WR,RB,0,2,3,0,76.7
9th,WR,WR,TE,WR,WR,WR,RB,QB,RB,1,4,0,0,76.7
9th,WR,RB,TE,WR,QB,WR,RB,WR,WR,0,3,1,1,76.7
6th,WR,WR,WR,RB,RB,RB,TE,QB,WR,0,3,1,1,76.7
6th,RB,TE,QB,WR,RB,WR,WR,RB,WR,0,3,2,0,76.7
1st,RB,RB,QB,TE,WR,WR,WR,WR,WR,0,4,1,0,76.7
6th,WR,RB,WR,RB,QB,WR,TE,RB,WR,0,3,2,0,76.7
6th,WR,WR,RB,RB,QB,WR,TE,WR,RB,1,2,2,0,76.7
1st,WR,WR,RB,RB,RB,QB,RB,RB,RB,0,0,3,2,76.7
4th,RB,WR,RB,WR,TE,RB,QB,WR,RB,0,2,3,0,76.7
6th,WR,WR,RB,RB,QB,RB,RB,WR,TE,0,2,3,0,76.7
4th,WR,WR,QB,WR,RB,TE,RB,WR,WR,0,3,1,1,76.7
9th,WR,WR,RB,RB,QB,WR,RB,WR,RB,0,2,1,2,76.7
9th,WR,WR,RB,RB,RB,QB,RB,RB,RB,0,0,3,2,76.7
1st,RB,RB,WR,RB,WR,QB,WR,WR,WR,0,2,1,2,76.6
12th,RB,RB,RB,TE,QB,WR,WR,WR,WR,0,3,2,0,76.6
9th,WR,RB,WR,WR,RB,QB,TE,RB,RB,0,2,2,1,76.6
9th,RB,RB,WR,WR,QB,TE,RB,WR,RB,0,1,4,0,76.6
4th,RB,RB,WR,WR,WR,WR,WR,WR,RB,2,1,0,2,76.6
1st,RB,RB,RB,QB,TE,WR,WR,WR,WR,0,1,4,0,76.6
1st,WR,TE,RB,RB,WR,WR,WR,QB,RB,0,3,2,0,76.6
4th,RB,TE,QB,WR,RB,WR,WR,RB,WR,0,3,2,0,76.6
6th,RB,RB,WR,TE,WR,WR,WR,WR,RB,2,2,1,0,76.5
12th,WR,RB,RB,RB,TE,WR,WR,WR,WR,2,2,1,0,76.5
1st,RB,RB,WR,WR,RB,WR,RB,WR,RB,2,0,0,3,76.5
1st,WR,RB,QB,WR,TE,RB,WR,RB,WR,0,3,2,0,76.5
6th,WR,RB,RB,WR,WR,RB,TE,QB,RB,1,1,2,1,76.5
12th,RB,RB,TE,QB,RB,WR,WR,WR,WR,0,3,2,0,76.5
12th,WR,WR,WR,TE,RB,RB,QB,RB,TE,0,2,2,1,76.5
1st,TE,WR,RB,RB,WR,WR,RB,WR,QB,1,2,1,1,76.5
9th,WR,WR,WR,RB,RB,RB,TE,QB,WR,0,3,1,1,76.5
1st,RB,RB,WR,WR,WR,WR,WR,RB,RB,2,1,0,2,76.4
9th,TE,WR,QB,WR,WR,RB,RB,WR,WR,0,4,1,0,76.4
12th,RB,RB,RB,WR,WR,RB,WR,QB,TE,0,1,4,0,76.4
9th,WR,RB,WR,RB,QB,WR,WR,WR,TE,1,2,1,1,76.4
9th,WR,TE,WR,QB,WR,RB,RB,RB,RB,0,2,2,1,76.4
12th,WR,WR,QB,RB,RB,TE,RB,RB,RB,0,1,4,0,76.4
12th,RB,RB,QB,RB,WR,WR,WR,WR,WR,0,1,2,2,76.4
6th,WR,RB,QB,WR,WR,WR,RB,RB,TE,0,2,2,1,76.4
6th,TE,WR,QB,WR,WR,WR,RB,RB,RB,0,4,1,0,76.4
6th,RB,RB,WR,WR,RB,WR,RB,WR,RB,2,0,0,3,76.4
12th,TE,WR,WR,RB,QB,RB,RB,RB,WR,0,3,2,0,76.4
9th,WR,WR,TE,RB,QB,RB,RB,RB,RB,0,2,3,0,76.4
4th,WR,RB,TE,RB,RB,RB,QB,WR,WR,0,2,3,0,76.4
12th,RB,TE,QB,WR,RB,WR,WR,RB,WR,0,3,2,0,76.3
6th,TE,RB,WR,WR,QB,WR,RB,RB,WR,0,3,2,0,76.3
9th,WR,RB,QB,WR,TE,RB,WR,RB,WR,0,3,2,0,76.3
9th,WR,WR,QB,WR,RB,TE,RB,WR,WR,0,3,1,1,76.3
9th,RB,RB,RB,TE,QB,WR,WR,WR,WR,0,3,2,0,76.3
12th,RB,RB,QB,WR,WR,WR,TE,WR,WR,0,5,0,0,76.3
12th,RB,WR,WR,RB,TE,QB,WR,RB,WR,0,3,2,0,76.3
12th,RB,RB,WR,QB,WR,TE,RB,WR,WR,0,3,2,0,76.3
12th,WR,WR,RB,QB,RB,TE,RB,RB,RB,0,0,5,0,76.2
12th,TE,WR,QB,WR,WR,WR,RB,RB,RB,0,4,1,0,76.2
1st,TE,RB,WR,WR,QB,WR,RB,RB,WR,0,3,2,0,76.2
1st,TE,WR,WR,WR,RB,RB,QB,RB,WR,0,3,2,0,76.2
9th,RB,WR,WR,WR,QB,TE,WR,RB,RB,0,3,2,0,76.2
12th,RB,RB,WR,WR,QB,TE,RB,WR,RB,0,1,4,0,76.2
9th,RB,TE,WR,WR,WR,QB,RB,RB,RB,2,1,2,0,76.2
12th,WR,WR,QB,WR,RB,TE,RB,WR,WR,0,3,1,1,76.2
1st,WR,TE,RB,QB,RB,WR,WR,WR,WR,0,4,1,0,76.2
1st,WR,WR,RB,RB,QB,RB,WR,WR,TE,0,3,2,0,76.2
6th,WR,TE,RB,RB,WR,WR,WR,QB,RB,0,3,2,0,76.2
1st,WR,WR,RB,RB,QB,WR,TE,WR,RB,1,2,2,0,76.1
9th,WR,RB,QB,WR,WR,WR,RB,RB,TE,0,2,2,1,76.1
1st,RB,TE,RB,RB,WR,WR,QB,WR,WR,1,2,2,0,76.1
4th,RB,RB,RB,WR,WR,WR,WR,WR,RB,2,0,0,3,76.1
12th,WR,WR,RB,RB,TE,QB,RB,RB,WR,0,2,3,0,76.1
4th,WR,WR,RB,RB,QB,RB,WR,WR,TE,0,3,2,0,76.1
9th,RB,RB,WR,WR,WR,WR,WR,RB,RB,2,1,0,2,76.1
1st,TE,WR,WR,RB,QB,RB,RB,RB,WR,0,3,2,0,76.1
6th,RB,RB,WR,WR,WR,WR,WR,WR,RB,2,1,0,2,76.1
6th,TE,WR,WR,WR,RB,RB,QB,RB,WR,0,3,2,0,76.1
1st,TE,WR,QB,WR,WR,WR,RB,RB,RB,0,4,1,0,76.1
4th,RB,RB,WR,TE,WR,WR,WR,WR,RB,2,2,1,0,76.1
9th,RB,RB,WR,TE,WR,WR,WR,WR,RB,2,2,1,0,76
1st,RB,RB,QB,WR,WR,WR,TE,WR,WR,0,5,0,0,76
12th,WR,WR,WR,WR,RB,RB,RB,QB,TE,0,3,1,1,76
4th,RB,RB,WR,WR,WR,WR,WR,RB,RB,2,0,1,2,76
1st,RB,RB,WR,WR,WR,WR,WR,RB,RB,2,0,1,2,76
12th,RB,WR,WR,WR,WR,WR,QB,WR,TE,0,5,0,0,76
9th,WR,WR,RB,QB,RB,TE,RB,RB,RB,0,0,5,0,76
12th,WR,WR,RB,RB,QB,RB,RB,WR,TE,0,2,3,0,76
6th,TE,RB,RB,QB,WR,WR,WR,WR,RB,0,2,3,0,76
12th,WR,WR,RB,RB,QB,RB,WR,WR,TE,0,3,2,0,76
